,title,authors,affiliations,citedby,mainterms,subject_areas,publisher,Year
2796,"Cisplatin-induced alterations in the blood-nerve barrier: effects of combination of vitamin B1, B6 and B12","['Tothonglor A.', 'Kobutree P.', 'Roumwong A.', 'Jindatip D.', 'Agthong S.']","['Faculty of Medicine, Chulalongkorn University']",2.0,"['Animals', 'Blood-Nerve Barrier', 'Cisplatin', 'Endothelial Cells', 'Peripheral Nervous System Diseases', 'Rats', 'Thiamine']",['Medicine (all)'],Via Medica,2023
2797,Lignin-liquid crystalline elastomeric composites for shape memory applications and their thermomechanical properties,"['Prathumrat P.', 'Nikzad M.', 'Hajizadeh E.', 'Okhawilai M.', 'Sbarski I.']","['Department of Mechanical Engineering', 'Metallurgy and Materials Research Institute Chulalongkorn University', 'Swinburne University of Technology']",1.0,"['Elastomeric composite', 'Liquid crystalline', 'Liquid crystalline elastomer', 'Liquid crystalline elastomers', 'Liquid-crystalline composite', 'Recovery time', 'Shape memory applications', 'Shape memory elastomer', 'Shape-memory', 'Thermomechanical properties']","['Chemical Engineering (all)', 'Physical and Theoretical Chemistry', 'Polymers and Plastics', 'Organic Chemistry', 'Materials Chemistry']",BME-PT and GTE,2023
2798,Anxiety-like behavior and GABAergic system in ovariectomized rats exposed to chronic mild stress,"['Tongta S.', 'Daendee S.', 'Kalandakanond-Thongsong S.']","['Ubon Ratchathani University', 'Chulalongkorn University']",2.0,"['Animals', 'Anxiety', 'Behavior, Animal', 'Disease Models, Animal', 'Estrogens', 'Female', 'gamma-Aminobutyric Acid', 'Rats', 'RNA, Messenger', 'Stress, Psychological']","['Experimental and Cognitive Psychology', 'Behavioral Neuroscience']",Elsevier Inc.,2023
2799,Bioaugmentation with a defined bacterial consortium: A key to degrade high molecular weight polylactic acid during traditional composting,"['Mistry A.N.', 'Kachenchart B.', 'Pinyakong O.', 'Assavalapsakul W.', 'Jitpraphai S.M.', 'Somwangthanaroj A.', 'Luepromchai E.']","['Chulalongkorn University', 'Faculty of Environment and Resource Studies, Mahidol University']",6.0,"['Bacterial community', 'Bacterial consortium', 'Bacterial interactions', 'Bio-augmentation', 'Bio-thermoplastic', 'Composting conditions', 'Elevated temperature', 'High molecular weight', 'Poly lactic acid films', 'Respirometer', 'Bacteria', 'Biodegradation, Environmental', 'Composting', 'Molecular Weight', 'Polyesters', 'Soil']","['Bioengineering', 'Environmental Engineering', 'Renewable Energy, Sustainability and the Environment', 'Waste Management and Disposal']",Elsevier Ltd,2023
2800,Cyber collaborative warehouse with dual-cycle operations design,"['Dusadeerungsikul P.O.', 'Nof S.Y.']","['Chulalongkorn University', 'School of Industrial Engineering']",0.0,"['Administration protocols', 'Collaborative robots', 'Computational power', 'Cybe-physical systems', 'Cyber-physical systems', 'Cycle operation', 'Factories of the futures', 'Local phase', 'Task administration protocol', 'Warehouse operation']","['Strategy and Management', 'Management Science and Operations Research', 'Industrial and Manufacturing Engineering']",Taylor and Francis Ltd.,2023
2801,Development of a new birthing model material based on silicone rubber/natural rubber blend,"['Panmanee P.', 'Okhawilai M.', 'Mora P.', 'Jubsilp C.', 'Karagiannidis P.', 'Rimdusit S.']","['Metallurgy and Materials Research Institute Chulalongkorn University', 'University of Sunderland', 'Chulalongkorn University', 'Srinakharinwirot University']",1.0,"['Curing system', 'Elongation-at-break', 'Material-based', 'Model materials', 'Peroxide curing', 'Rubber blends', 'Silicone rubber', 'Strength and elongations', 'Sulphur/peroxide curing system', 'Tear strength']","['Polymers and Plastics', 'Organic Chemistry']",Elsevier Ltd,2023
2802,A Framework of Risk Profile in Public Healthcare System Development: A Literature Review,"['Krutphong K.', 'Tang J.', 'Leelawat N.']",['Chulalongkorn University'],0.0,"['Assessment process', 'Disaster management', 'Healthcare systems', 'Literature reviews', 'Operation and management', 'Public healthcares', 'Risk profile', 'Risks management', 'SWOT analysis', 'System development']",['Civil and Structural Engineering'],Springer Science and Business Media Deutschland GmbH,2023
2803,A Case Study to Predict Structural Health of a Gasoline Pipeline Using ANN and GPR Approaches,"['Shaik N.B.', 'Pedapati S.R.', 'Othman A.R.', 'Dzubir F.A.B.A.']","['Chulalongkorn University', 'Universiti Teknologi PETRONAS', 'Petroliam Nasional Berhad']",1.0,"['Case-studies', 'Gasoline pipeline', 'Gaussian process regression', 'Gaussian process regression model', 'Network process', 'Oil and gas', 'Performance', 'Pipeline systems', 'Regression', 'Structural health']","['Automotive Engineering', 'Aerospace Engineering', 'Mechanical Engineering', 'Fluid Flow and Transfer Processes']",Springer Science and Business Media Deutschland GmbH,2023
2804,A double transition metal Ti2NbC2Tx MXene for enhanced lithium-ion storage,"['Liu W.', 'Cao J.', 'Song F.', 'Zhang D.-D.', 'Okhawilai M.', 'Yi J.', 'Qin J.-Q.', 'Zhang X.-Y.']","['Chulalongkorn University', 'College of Sciences', 'Metallurgy and Materials Research Institute Chulalongkorn University', 'Yanshan University']",3.0,"['Double transition metal mxene', 'ITS applications', 'Layered material', 'Lithium ion storages', 'Lithium-ion battery', 'Property', 'Storage systems', 'Ti2NbC2Tx', 'Ti3C2Tx', 'Two-dimensional']","['Condensed Matter Physics', 'Physical and Theoretical Chemistry', 'Metals and Alloys', 'Materials Chemistry']",Springer,2023
2805,Estimation of Sustainable Aquifer Yields in the Saigon River Basin,"['Long T.T.', 'Koontanakulvong S.', 'Truyen P.N.']","['Viet Nam National University Ho Chi Minh City', 'Chulalongkorn University', 'Ho Chi Minh University of Technology', 'Industrial University of Hochiminh City']",0.0,"['Economic growths', 'Hydraulic gradients', 'Optimal pumping', 'Optimal pumping intensity', 'Pumping intensity', 'River basins', 'Saiga river basin', 'Socio-economics', 'Surface water supply', 'Sustainable aquifer yield']",['Civil and Structural Engineering'],Springer Science and Business Media Deutschland GmbH,2023
