authors,citedby,author_count
"['Boonma T.', 'Nutho B.', 'Rungrotmongkol T.', 'Nunthaboot N.']",4,4
"['Liang B.', 'Kong D.', 'Qi M.', 'Yun H.', 'Li Z.', 'Shi K.', 'Chen E.', 'Vangnai A.S.', 'Wang A.']",20,9
"['Poosri S.', 'Thilavech T.', 'Pasukamonset P.', 'Suparpprom C.', 'Adisakwattana S.']",18,5
"['Petchwattana N.', 'Ongsritrakul P.', 'Covavisaruch S.', 'Narupai B.', 'Sanetuntikul J.']",5,5
"['Sakunrangsit N.', 'Ketchart W.']",30,2
"['Neampet S.', 'Ruecha N.', 'Qin J.', 'Wonsawat W.', 'Chailapakul O.', 'Rodthongkum N.']",61,6
"['Piewbang C.', 'Kasantikul T.', 'Pringproa K.', 'Techangamsuwan S.']",27,4
"['Carr A.', 'Kerr S.J.', 'Richardson R.', 'Ebeling P.', 'Pocock N.', 'Rojas J.', 'Martinez E.', 'Hoy J.']",9,8
"['Rianthavorn P.', 'Prurapark P.']",3,2
"['Alcala-Briseno R.I.', 'Lotrakul P.', 'Valverde R.A.']",0,3
"['Chiasakul T.', 'Evans C.R.', 'Spyropoulos A.C.', 'Raskob G.', 'Crowther M.', 'Cuker A.']",12,6
"['Alexpandi R.', 'Prasanth M.I.', 'Ravi A.V.', 'Balamurugan K.', 'Durgadevi R.', 'Srinivasan R.', 'De Mesquita J.F.', 'Pandian S.K.']",34,8
"['Akkarawatkhoosith N.', 'Srichai A.', 'Kaewchada A.', 'Ngamcharussrivichai C.', 'Jaree A.']",18,5
"['Filloux T.', 'Faysse N.', 'Pintobtang P.']",8,3
"['Osateerakun P.', 'Weerasopone S.', 'Amarase C.', 'Honsawek S.', 'Limpaphayom N.']",2,5
"['Faysse N.', 'Phiboon K.', 'Filloux T.']",13,3
"['Kowalczyk M.', 'Szemraj J.', 'Blizniewska K.', 'Maes M.', 'Berk M.', 'Su K.-P.', 'Galecki P.']",31,7
"['Cao Y.', 'Wang Q.', 'Du J.', 'Nojavan S.', 'Jermsittiparsert K.', 'Ghadimi N.']",82,6
"['Taweethavonsawat P.', 'Chaimee T.', 'Priyavoravong P.', 'Traub R.J.']",2,4
"['Rattanapisit K.', 'Phakham T.', 'Buranapraditkun S.', 'Siriwattananon K.', 'Boonkrai C.', 'Pisitkun T.', 'Hirankarn N.', 'Strasser R.', 'Abe Y.', 'Phoolcharoen W.']",28,10
"['Chottawornsak N.', 'Chongpison Y.', 'Asawanonda P.', 'Kumtornrut C.']",4,4
